season,date,home_team,away_team,side,prob,odds,ev,kelly,stake,won,profit,bankroll
2023-24,2023-08-12,Sheffield United,Crystal Palace,away,0.4633,2.38,0.1026,0.0186,18.6,True,25.67,1025.67
2023-24,2023-08-12,Newcastle,Aston Villa,home,0.5916,1.75,0.0353,0.0118,12.1,True,9.08,1034.75
2023-24,2023-08-13,Chelsea,Liverpool,home,0.39,2.9,0.131,0.0172,17.8,False,-17.8,1016.95
2023-24,2023-08-13,Brentford,Tottenham,home,0.4239,2.75,0.1658,0.0237,24.1,False,-24.1,992.85
2023-24,2023-08-18,Nott'm Forest,Sheffield United,home,0.6005,1.95,0.1711,0.045,44.68,True,42.44,1035.29
2023-24,2023-08-19,Tottenham,Man United,home,0.5356,2.8,0.4996,0.0625,64.71,True,116.47,1151.76
2023-24,2023-08-19,Fulham,Brentford,home,0.4317,2.7,0.1656,0.0244,28.1,False,-28.1,1123.66
2023-24,2023-08-20,Aston Villa,Everton,home,0.6136,1.7,0.0431,0.0154,17.3,True,12.11,1135.77
2023-24,2023-08-20,West Ham,Chelsea,home,0.4563,3.75,0.711,0.0625,70.99,True,195.21,1330.98
2023-24,2023-08-26,Brentford,Crystal Palace,away,0.3866,3.5,0.3529,0.0353,46.98,False,-46.98,1284.0
2023-24,2023-08-26,Everton,Wolves,home,0.6356,2.3,0.4619,0.0625,80.25,False,-80.25,1203.75
2023-24,2023-08-26,FC Koln,Wolfsburg,home,0.6472,2.3,0.4885,0.0625,75.23,False,-75.23,1128.52
2023-24,2023-08-26,M'gladbach,Leverkusen,home,0.384,3.8,0.4592,0.041,46.27,False,-46.27,1082.25
2023-24,2023-08-26,Heidenheim,Hoffenheim,home,0.6404,3.0,0.9213,0.0625,67.64,False,-67.64,1014.61
2023-24,2023-08-27,Newcastle,Liverpool,home,0.6408,2.2,0.4097,0.0625,63.41,False,-63.41,951.2
2023-24,2023-08-27,Mainz,Ein Frankfurt,away,0.4366,2.88,0.2574,0.0342,32.53,False,-32.53,918.67
2023-24,2023-09-02,Brentford,Bournemouth,home,0.6102,1.73,0.0557,0.0191,17.55,False,-17.55,901.12
2023-24,2023-09-02,Sheffield United,Everton,away,0.4347,2.5,0.0866,0.0144,12.98,False,-12.98,888.14
2023-24,2023-09-02,Werder Bremen,Mainz,home,0.5245,2.63,0.3795,0.0582,51.69,True,84.25,972.39
2023-24,2023-09-02,Stuttgart,Freiburg,away,0.465,3.2,0.488,0.0554,53.87,False,-53.87,918.52
2023-24,2023-09-02,Hoffenheim,Wolfsburg,away,0.5247,2.63,0.3799,0.0583,53.55,False,-53.55,864.97
2023-24,2023-09-02,Brighton,Newcastle,home,0.5991,2.5,0.4978,0.0625,54.06,True,81.09,946.06
2023-24,2023-09-03,Union Berlin,RB Leipzig,home,0.5264,3.4,0.7897,0.0625,59.13,False,-59.13,886.93
2023-24,2023-09-03,Ein Frankfurt,FC Koln,home,0.6252,2.1,0.3129,0.0625,55.43,False,-55.43,831.5
2023-24,2023-09-03,Crystal Palace,Wolves,home,0.6655,1.91,0.271,0.0625,51.97,True,47.29,878.79
2023-24,2023-09-03,Liverpool,Aston Villa,home,0.6502,1.65,0.0728,0.028,24.61,True,15.99,894.78
2023-24,2023-09-15,Bayern Munich,Leverkusen,home,0.654,1.65,0.0791,0.0304,27.2,False,-27.2,867.58
2023-24,2023-09-16,Wolfsburg,Union Berlin,home,0.5795,2.25,0.3038,0.0608,52.75,True,65.94,933.52
2023-24,2023-09-16,Freiburg,Dortmund,home,0.3916,3.1,0.2139,0.0255,23.8,False,-23.8,909.72
2023-24,2023-09-16,FC Koln,Hoffenheim,home,0.4838,2.25,0.0885,0.0177,16.1,False,-16.1,893.62
2023-24,2023-09-16,Aston Villa,Crystal Palace,home,0.6257,1.91,0.1951,0.0536,47.9,True,43.59,937.21
2023-24,2023-09-16,Mainz,Stuttgart,away,0.4271,2.7,0.1531,0.0225,21.09,True,35.85,973.06
2023-24,2023-09-17,Heidenheim,Werder Bremen,away,0.4769,2.7,0.2876,0.0423,41.16,False,-41.16,931.9
2023-24,2023-09-17,Darmstadt,M'gladbach,away,0.5008,2.38,0.192,0.0348,32.43,False,-32.43,899.47
2023-24,2023-09-18,Nott'm Forest,Burnley,home,0.5079,2.2,0.1174,0.0245,22.04,False,-22.04,877.43
2023-24,2023-09-23,Augsburg,Mainz,away,0.4918,2.63,0.2933,0.045,39.48,False,-39.48,837.95
2023-24,2023-09-23,Crystal Palace,Fulham,home,0.6672,1.91,0.2744,0.0625,52.37,False,-52.37,785.58
2023-24,2023-09-23,Luton,Wolves,home,0.5036,3.25,0.6366,0.0625,49.1,False,-49.1,736.48
2023-24,2023-09-23,Brentford,Everton,home,0.6407,1.8,0.1532,0.0479,35.28,False,-35.28,701.2
2023-24,2023-09-23,Dortmund,Wolfsburg,home,0.673,1.65,0.1104,0.0425,29.8,True,19.37,720.57
2023-24,2023-09-23,Union Berlin,Hoffenheim,home,0.5466,2.05,0.1205,0.0287,20.68,False,-20.68,699.89
2023-24,2023-09-23,Werder Bremen,FC Koln,home,0.5153,2.5,0.2882,0.048,33.59,True,50.39,750.28
2023-24,2023-09-24,Ein Frankfurt,Freiburg,home,0.5404,2.05,0.1079,0.0257,19.28,False,-19.28,731.0
2023-24,2023-09-30,Tottenham,Liverpool,home,0.4205,2.9,0.2194,0.0289,21.13,True,40.14,771.14
2023-24,2023-09-30,FC Koln,Stuttgart,away,0.465,2.38,0.1068,0.0193,14.88,True,20.54,791.68
2023-24,2023-09-30,Heidenheim,Union Berlin,away,0.4812,2.25,0.0828,0.0166,13.14,False,-13.14,778.54
2023-24,2023-09-30,Bochum,M'gladbach,home,0.5172,2.3,0.1895,0.0364,28.34,False,-28.34,750.2
2023-24,2023-10-01,Nott'm Forest,Brentford,home,0.4298,2.75,0.1821,0.026,19.51,False,-19.51,730.69
2023-24,2023-10-02,Fulham,Chelsea,home,0.406,3.6,0.4614,0.0444,32.44,False,-32.44,698.25
2023-24,2023-10-03,Luton,Burnley,home,0.5136,2.9,0.4894,0.0625,43.64,False,-43.64,654.61
2023-24,2023-10-06,M'gladbach,Mainz,away,0.3816,3.4,0.2976,0.031,20.29,False,-20.29,634.32
